模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.2119152545928955,1.2119152545928955,3.3005608146616434,93
llama3.1-8b,3500,490 - 500,4,1.2117729187011719,1.2117729187011719,3.300948501380411,93
llama3.1-8b,3500,490 - 500,4,1.2107698917388916,1.2107698917388916,3.3036830757785474,94
llama3.1-8b,3500,490 - 500,4,1.2086384296417236,1.2086384296417236,3.3095091980367686,93
llama3.1-8b,3500,490 - 500,4,1.209075689315796,1.209075689315796,3.308312321012393,94
llama3.1-8b,3500,490 - 500,4,1.2183160781860352,1.2183160781860352,3.2832202345680654,94
llama3.1-8b,3500,490 - 500,4,1.2075221538543701,1.2075221538543701,3.31256862429574,94
llama3.1-8b,3500,490 - 500,4,1.210172414779663,1.210172414779663,3.3053141446198664,93
llama3.1-8b,3500,490 - 500,4,1.2185800075531006,1.2185800075531006,3.2825091296483433,94
llama3.1-8b,3500,490 - 500,4,1.2159557342529297,1.2159557342529297,3.2895934344662288,93
llama3.1-8b,3500,490 - 500,4,1.222736120223999,1.222736120223999,3.2713517936046745,94
llama3.1-8b,3500,490 - 500,4,1.233109951019287,1.233109951019287,3.2438307684514305,94
llama3.1-8b,3500,490 - 500,4,1.215674638748169,1.215674638748169,3.290354073783235,93
llama3.1-8b,3500,490 - 500,4,1.2139277458190918,1.2139277458190918,3.2950890312676884,94
llama3.1-8b,3500,490 - 500,4,1.2339887619018555,1.2339887619018555,3.241520606585668,94
llama3.1-8b,3500,490 - 500,4,1.254727840423584,1.254727840423584,3.187942333892614,93
llama3.1-8b,3500,490 - 500,4,1.2328107357025146,1.2328107357025146,3.2446180781518,93
llama3.1-8b,3500,490 - 500,4,1.2315104007720947,1.2315104007720947,3.2480440258500476,93
llama3.1-8b,3500,490 - 500,4,1.233243465423584,1.233243465423584,3.243479582213812,94
llama3.1-8b,3500,490 - 500,4,1.2163872718811035,1.2163872718811035,3.2884263856313867,93
llama3.1-8b,3500,490 - 500,4,1.2235314846038818,1.2235314846038818,3.2692252306813336,94
llama3.1-8b,3500,490 - 500,4,1.2133071422576904,1.2133071422576904,3.2967744610461156,93
